"face","suit","value"
"King","Spades",13
"Queen","Spades",12
"Jack","Spades",11
"Ten","Spades",10
"Nine","Spades",9
"Eight","Spades",8
"Seven","Spades",7
"Six","Spades",6
"Five","Spades",5
"Four","Spades",4
"Three","Spades",3
"Two","Spades",2
"Ace","Spades",1
"King","Clubs",13
"Queen","Clubs",12
"Jack","Clubs",11
"Ten","Clubs",10
"Nine","Clubs",9
"Eight","Clubs",8
"Seven","Clubs",7
"Six","Clubs",6
"Five","Clubs",5
"Four","Clubs",4
"Three","Clubs",3
"Two","Clubs",2
"Ace","Clubs",1
"King","Diamonds",13
"Queen","Diamonds",12
"Jack","Diamonds",11
"Ten","Diamonds",10
"Nine","Diamonds",9
"Eight","Diamonds",8
"Seven","Diamonds",7
"Six","Diamonds",6
"Five","Diamonds",5
"Four","Diamonds",4
"Three","Diamonds",3
"Two","Diamonds",2
"Ace","Diamonds",1
"King","Hearts",13
"Queen","Hearts",12
"Jack","Hearts",11
"Ten","Hearts",10
"Nine","Hearts",9
"Eight","Hearts",8
"Seven","Hearts",7
"Six","Hearts",6
"Five","Hearts",5
"Four","Hearts",4
"Three","Hearts",3
"Two","Hearts",2
"Ace","Hearts",1
